GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
8600000US10519,10519,ZCTA5 10519,109,96
8600000US10520,10520,ZCTA5 10520,13267,499
8600000US10522,10522,ZCTA5 10522,10831,24
8600000US10523,10523,ZCTA5 10523,7687,390
8600000US10524,10524,ZCTA5 10524,4460,297
8600000US10526,10526,ZCTA5 10526,1979,291
8600000US10527,10527,ZCTA5 10527,1144,234
8600000US10528,10528,ZCTA5 10528,13358,664
8600000US10530,10530,ZCTA5 10530,11796,665
8600000US10532,10532,ZCTA5 10532,5028,452
8600000US10533,10533,ZCTA5 10533,7419,278
8600000US10535,10535,ZCTA5 10535,748,350
8600000US10536,10536,ZCTA5 10536,10204,727
8600000US10537,10537,ZCTA5 10537,2463,537
8600000US10538,10538,ZCTA5 10538,16972,441
8600000US10541,10541,ZCTA5 10541,26328,744
8600000US10543,10543,ZCTA5 10543,19922,351
8600000US10545,10545,ZCTA5 10545,111,56
8600000US10546,10546,ZCTA5 10546,1244,324
8600000US10547,10547,ZCTA5 10547,8171,854
8600000US10548,10548,ZCTA5 10548,3174,432
8600000US10549,10549,ZCTA5 10549,15475,495
8600000US10550,10550,ZCTA5 10550,36523,864
8600000US10552,10552,ZCTA5 10552,20116,777
8600000US10553,10553,ZCTA5 10553,10507,702
8600000US10560,10560,ZCTA5 10560,4819,168
8600000US10562,10562,ZCTA5 10562,31348,571
8600000US10566,10566,ZCTA5 10566,23392,28
8600000US10567,10567,ZCTA5 10567,19743,747
8600000US10570,10570,ZCTA5 10570,12501,738
8600000US10573,10573,ZCTA5 10573,38017,142
8600000US10576,10576,ZCTA5 10576,5261,281
8600000US10577,10577,ZCTA5 10577,4623,694
8600000US10578,10578,ZCTA5 10578,773,348
8600000US10579,10579,ZCTA5 10579,8741,577
8600000US10580,10580,ZCTA5 10580,17210,283
8600000US10583,10583,ZCTA5 10583,38204,844
8600000US10588,10588,ZCTA5 10588,1883,507
8600000US10589,10589,ZCTA5 10589,8348,409
8600000US10590,10590,ZCTA5 10590,6601,362
8600000US10591,10591,ZCTA5 10591,22548,404
8600000US10594,10594,ZCTA5 10594,5083,458
8600000US10595,10595,ZCTA5 10595,8071,1061
8600000US10596,10596,ZCTA5 10596,799,263
8600000US10597,10597,ZCTA5 10597,954,279
8600000US10598,10598,ZCTA5 10598,28717,770
8600000US10601,10601,ZCTA5 10601,10160,616
8600000US10603,10603,ZCTA5 10603,18138,941
8600000US10604,10604,ZCTA5 10604,11737,841
8600000US10605,10605,ZCTA5 10605,18778,891
8600000US10606,10606,ZCTA5 10606,15657,972
8600000US10607,10607,ZCTA5 10607,6903,700
8600000US10701,10701,ZCTA5 10701,62939,1878
8600000US10703,10703,ZCTA5 10703,20367,1423
8600000US10704,10704,ZCTA5 10704,29807,1096
8600000US10705,10705,ZCTA5 10705,38142,1649
8600000US10706,10706,ZCTA5 10706,8698,184
8600000US10707,10707,ZCTA5 10707,10330,510
8600000US10708,10708,ZCTA5 10708,21309,771
8600000US10709,10709,ZCTA5 10709,9586,503
8600000US10710,10710,ZCTA5 10710,25472,1037
8600000US10801,10801,ZCTA5 10801,40120,1095
8600000US10803,10803,ZCTA5 10803,12392,126
8600000US10804,10804,ZCTA5 10804,15019,706
8600000US10805,10805,ZCTA5 10805,17828,992
8600000US10901,10901,ZCTA5 10901,23007,765
8600000US10910,10910,ZCTA5 10910,0,89
8600000US10911,10911,ZCTA5 10911,0,89
8600000US10913,10913,ZCTA5 10913,5245,545
8600000US10914,10914,ZCTA5 10914,287,307
8600000US10915,10915,ZCTA5 10915,216,108
8600000US10916,10916,ZCTA5 10916,4518,405
8600000US10917,10917,ZCTA5 10917,2134,426
8600000US10918,10918,ZCTA5 10918,11480,645
8600000US10919,10919,ZCTA5 10919,1149,452
8600000US10920,10920,ZCTA5 10920,8385,443
8600000US10921,10921,ZCTA5 10921,3926,303
